Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,hour,month,dayofweek,city_encoded,cluster,anomaly,safety_score
774,2020-05-02 04:00:00,2020-02-02 05:00:00,2020-02-02 18:17:00,Delhi,334,FRAUD,34,F,Blunt Object,Other Crime,11,No,,18.0,2,6,5,3,1,85
776,2020-02-02 08:00:00,2020-02-02 07:00:00,2020-02-02 22:56:00,Bhopal,572,PUBLIC INTOXICATION,78,F,,Other Crime,10,Yes,21-02-2020 08:00,22.0,2,6,3,3,-1,35
777,2020-03-02 09:00:00,2020-02-02 08:00:00,2020-02-02 17:03:00,Visakhapatnam,220,FRAUD,70,F,Explosives,Other Crime,1,Yes,23-03-2020 09:00,17.0,2,6,28,1,-1,65
778,2020-04-02 20:00:00,2020-02-02 09:00:00,2020-02-02 12:25:00,Hyderabad,108,FRAUD,12,F,Firearm,Other Crime,17,No,,12.0,2,6,8,3,1,85
779,2020-04-02 02:00:00,2020-02-02 10:00:00,2020-02-02 17:53:00,Delhi,155,FRAUD,15,F,Explosives,Other Crime,10,Yes,22-04-2020 02:00,17.0,2,6,5,3,1,85
780,2020-04-02 21:00:00,2020-02-02 11:00:00,2020-03-02 06:45:00,Delhi,299,IDENTITY THEFT,54,F,Explosives,Violent Crime,7,No,,6.0,2,6,5,3,1,85
781,2020-04-02 22:00:00,2020-02-02 12:00:00,2020-02-02 14:41:00,Kolkata,405,ILLEGAL POSSESSION,45,F,Knife,Other Crime,6,No,,14.0,2,6,13,3,1,85
783,2020-03-02 12:00:00,2020-02-02 14:00:00,2020-03-02 11:15:00,Delhi,241,DRUG OFFENSE,35,F,Knife,Other Crime,14,No,,11.0,2,6,5,3,1,85
784,2020-04-02 09:00:00,2020-02-02 15:00:00,2020-03-02 13:52:00,Kolkata,479,ILLEGAL POSSESSION,40,F,,Other Crime,14,Yes,16-02-2020 09:00,13.0,2,6,13,3,1,85
785,2020-02-02 22:00:00,2020-02-02 16:00:00,2020-03-02 00:17:00,Hyderabad,406,DRUG OFFENSE,25,F,,Other Crime,15,No,,0.0,2,6,8,0,-1,50
786,2020-03-02 03:00:00,2020-02-02 17:00:00,2020-02-02 22:04:00,Mumbai,432,BURGLARY,44,F,Blunt Object,Other Crime,5,Yes,13-06-2020 03:00,22.0,2,6,17,1,-1,45
787,2020-03-02 14:00:00,2020-02-02 18:00:00,2020-03-02 02:10:00,Thane,427,FRAUD,52,F,Other,Other Crime,17,No,,2.0,2,6,25,0,-1,50
790,2020-03-02 05:00:00,2020-02-02 21:00:00,2020-03-02 17:51:00,Lucknow,530,ARSON,62,F,Poison,Fire Accident,7,Yes,25-02-2020 05:00,17.0,2,6,14,3,1,85
791,2020-03-02 19:00:00,2020-02-02 22:00:00,2020-03-02 02:46:00,Indore,480,VEHICLE - STOLEN,41,F,Firearm,Violent Crime,5,Yes,10-04-2020 19:00,2.0,2,6,9,0,-1,50
793,2020-04-02 10:00:00,2020-02-03 00:00:00,2020-03-02 11:16:00,Pune,441,FRAUD,19,F,Blunt Object,Other Crime,15,No,,11.0,2,0,21,1,1,95
794,2020-05-02 15:00:00,2020-02-03 01:00:00,2020-03-02 07:45:00,Bhopal,133,SEXUAL ASSAULT,12,F,Other,Violent Crime,12,No,,7.0,2,0,3,2,1,90
796,2020-04-02 20:00:00,2020-02-03 03:00:00,2020-04-02 00:33:00,Srinagar,447,KIDNAPPING,50,F,Explosives,Other Crime,3,No,,0.0,2,0,23,0,-1,50
798,2020-03-02 06:00:00,2020-02-03 05:00:00,2020-03-02 14:58:00,Lucknow,407,SHOPLIFTING,42,F,Poison,Other Crime,4,No,,14.0,2,0,14,2,1,90
799,2020-05-02 17:00:00,2020-02-03 06:00:00,2020-03-02 18:46:00,Hyderabad,272,TRAFFIC VIOLATION,23,F,Knife,Traffic Fatality,17,No,,18.0,2,0,8,2,1,90
800,2020-04-02 06:00:00,2020-02-03 07:00:00,2020-03-02 21:45:00,Bhopal,232,KIDNAPPING,12,F,Blunt Object,Other Crime,5,No,,21.0,2,0,3,2,-1,40
801,2020-05-02 23:00:00,2020-02-03 08:00:00,2020-03-02 12:23:00,Mumbai,436,ILLEGAL POSSESSION,57,F,Knife,Other Crime,18,No,,12.0,2,0,17,2,1,90
807,2020-04-02 04:00:00,2020-02-03 14:00:00,2020-03-02 14:32:00,Mumbai,272,DOMESTIC VIOLENCE,14,F,Other,Violent Crime,4,Yes,01-05-2020 04:00,14.0,2,0,17,2,1,90
811,2020-06-02 09:00:00,2020-02-03 18:00:00,2020-03-02 22:00:00,Kolkata,525,FRAUD,29,F,Blunt Object,Other Crime,5,Yes,11-03-2020 09:00,22.0,2,0,13,2,-1,40
812,2020-03-02 20:00:00,2020-02-03 19:00:00,2020-03-02 21:29:00,Mumbai,446,CYBERCRIME,43,F,,Other Crime,5,No,,21.0,2,0,17,2,-1,40
813,2020-04-02 09:00:00,2020-02-03 20:00:00,2020-04-02 00:36:00,Ludhiana,243,EXTORTION,75,F,Poison,Other Crime,5,No,,0.0,2,0,15,0,-1,50
814,2020-06-02 12:00:00,2020-02-03 21:00:00,2020-04-02 11:41:00,Bhopal,303,FIREARM OFFENSE,20,F,Explosives,Fire Accident,17,No,,11.0,2,0,3,2,1,90
817,2020-06-02 03:00:00,2020-02-04 00:00:00,2020-04-02 13:14:00,Kanpur,234,VEHICLE - STOLEN,16,F,Other,Violent Crime,5,Yes,13-02-2020 03:00,13.0,2,1,12,2,1,90
818,2020-05-02 07:00:00,2020-02-04 01:00:00,2020-04-02 11:08:00,Hyderabad,204,ASSAULT,67,F,Knife,Violent Crime,4,No,,11.0,2,1,8,2,1,90
819,2020-05-02 11:00:00,2020-02-04 02:00:00,2020-04-02 20:58:00,Ahmedabad,258,SEXUAL ASSAULT,37,F,,Violent Crime,13,Yes,04-08-2020 11:00,20.0,2,1,1,2,1,70
820,2020-06-02 19:00:00,2020-02-04 03:00:00,2020-04-02 07:28:00,Kanpur,470,SHOPLIFTING,62,F,,Other Crime,16,No,,7.0,2,1,12,2,1,90
821,2020-06-02 00:00:00,2020-02-04 04:00:00,2020-05-02 01:12:00,Hyderabad,408,FIREARM OFFENSE,76,F,Blunt Object,Fire Accident,5,Yes,11-03-2020 00:00,1.0,2,1,8,0,-1,50
822,2020-05-02 09:00:00,2020-02-04 05:00:00,2020-04-02 20:00:00,Pune,564,FRAUD,13,F,Blunt Object,Other Crime,12,No,,20.0,2,1,21,1,-1,45
823,2020-06-02 17:00:00,2020-02-04 06:00:00,2020-04-02 20:28:00,Kolkata,340,ASSAULT,34,F,Other,Violent Crime,8,Yes,14-03-2020 17:00,20.0,2,1,13,2,1,70
826,2020-05-02 05:00:00,2020-02-04 09:00:00,2020-04-02 09:21:00,Bangalore,204,PUBLIC INTOXICATION,68,F,Knife,Other Crime,4,Yes,27-02-2020 05:00,9.0,2,1,2,2,1,90
827,2020-07-02 05:00:00,2020-02-04 10:00:00,2020-05-02 02:46:00,Bhopal,548,VEHICLE - STOLEN,18,F,Blunt Object,Violent Crime,7,No,,2.0,2,1,3,0,-1,50
828,2020-06-02 03:00:00,2020-02-04 11:00:00,2020-05-02 02:26:00,Pune,328,DOMESTIC VIOLENCE,46,F,Explosives,Violent Crime,16,No,,2.0,2,1,21,0,-1,50
831,2020-04-02 15:00:00,2020-02-04 14:00:00,2020-04-02 17:02:00,Nashik,597,TRAFFIC VIOLATION,67,F,Firearm,Traffic Fatality,9,Yes,25-02-2020 15:00,17.0,2,1,19,1,1,95
832,2020-07-02 08:00:00,2020-02-04 15:00:00,2020-05-02 13:55:00,Kanpur,315,SHOPLIFTING,38,F,Other,Other Crime,4,No,,13.0,2,1,12,2,1,90
834,2020-04-02 18:00:00,2020-02-04 17:00:00,2020-05-02 16:24:00,Chennai,222,DOMESTIC VIOLENCE,16,F,Poison,Violent Crime,5,Yes,27-04-2020 18:00,16.0,2,1,4,2,1,90
835,2020-06-02 03:00:00,2020-02-04 18:00:00,2020-05-02 09:03:00,Hyderabad,433,SEXUAL ASSAULT,36,F,Knife,Violent Crime,13,No,,9.0,2,1,8,2,1,90
837,2020-06-02 11:00:00,2020-02-04 20:00:00,2020-05-02 01:22:00,Pune,442,ARSON,28,F,Other,Fire Accident,1,Yes,12-03-2020 11:00,1.0,2,1,21,0,-1,50
838,2020-06-02 05:00:00,2020-02-04 21:00:00,2020-05-02 14:09:00,Delhi,599,VEHICLE - STOLEN,41,F,Knife,Violent Crime,11,No,,14.0,2,1,5,2,1,90
840,2020-07-02 07:00:00,2020-02-04 23:00:00,2020-05-02 13:29:00,Hyderabad,163,HOMICIDE,35,F,Firearm,Other Crime,17,No,,13.0,2,1,8,2,1,90
842,2020-05-02 17:00:00,2020-02-05 01:00:00,2020-05-02 08:44:00,Visakhapatnam,476,ARSON,63,F,Poison,Fire Accident,13,Yes,02-04-2020 17:00,8.0,2,2,28,1,-1,65
843,2020-07-02 15:00:00,2020-02-05 02:00:00,2020-05-02 07:10:00,Ludhiana,134,EXTORTION,72,F,Firearm,Other Crime,9,Yes,29-04-2020 15:00,7.0,2,2,15,0,1,100
844,2020-06-02 17:00:00,2020-02-05 03:00:00,2020-05-02 06:58:00,Chennai,459,IDENTITY THEFT,52,F,Firearm,Violent Crime,11,No,,6.0,2,2,4,0,1,100
845,2020-07-02 10:00:00,2020-02-05 04:00:00,2020-05-02 15:56:00,Kalyan,249,DOMESTIC VIOLENCE,23,F,Poison,Violent Crime,1,Yes,21-03-2020 10:00,15.0,2,2,11,2,1,90
846,2020-07-02 13:00:00,2020-02-05 05:00:00,2020-05-02 16:41:00,Hyderabad,408,COUNTERFEITING,28,F,,Other Crime,10,Yes,16-02-2020 13:00,16.0,2,2,8,2,1,90
847,2020-05-02 16:00:00,2020-02-05 06:00:00,2020-06-02 05:04:00,Jaipur,545,VEHICLE - STOLEN,36,F,Firearm,Violent Crime,1,No,,5.0,2,2,10,0,1,80
848,2020-07-02 22:00:00,2020-02-05 07:00:00,2020-05-02 11:47:00,Nashik,489,SEXUAL ASSAULT,27,F,,Violent Crime,19,No,,11.0,2,2,19,1,1,95
850,2020-05-02 20:00:00,2020-02-05 09:00:00,2020-06-02 04:14:00,Chennai,121,FRAUD,36,F,Knife,Other Crime,4,No,,4.0,2,2,4,0,1,80
852,2020-06-02 03:00:00,2020-02-05 11:00:00,2020-05-02 23:30:00,Chennai,190,VEHICLE - STOLEN,52,F,,Violent Crime,16,Yes,14-04-2020 03:00,23.0,2,2,4,2,-1,40
855,2020-06-02 16:00:00,2020-02-05 14:00:00,2020-05-02 23:25:00,Delhi,225,TRAFFIC VIOLATION,10,F,Poison,Traffic Fatality,10,Yes,20-02-2020 16:00,23.0,2,2,5,2,-1,40
856,2020-07-02 20:00:00,2020-02-05 15:00:00,2020-06-02 01:03:00,Mumbai,451,VANDALISM,38,F,Other,Other Crime,13,No,,1.0,2,2,17,0,-1,50
857,2020-07-02 00:00:00,2020-02-05 16:00:00,2020-06-02 00:07:00,Kolkata,501,KIDNAPPING,32,F,Blunt Object,Other Crime,7,Yes,29-03-2020 00:00,0.0,2,2,13,0,-1,50
859,2020-07-02 08:00:00,2020-02-05 18:00:00,2020-06-02 05:35:00,Bangalore,271,BURGLARY,72,F,,Other Crime,11,No,,5.0,2,2,2,0,1,80
861,2020-06-02 07:00:00,2020-02-05 20:00:00,2020-06-02 07:48:00,Nashik,569,DOMESTIC VIOLENCE,45,F,Knife,Violent Crime,5,Yes,15-02-2020 07:00,7.0,2,2,19,1,1,95
864,2020-07-02 08:00:00,2020-02-05 23:00:00,2020-06-02 14:14:00,Indore,475,SEXUAL ASSAULT,50,F,Blunt Object,Violent Crime,4,Yes,28-12-2020 08:00,14.0,2,2,9,2,1,90
865,2020-08-02 17:00:00,2020-02-06 00:00:00,2020-06-02 12:51:00,Thane,330,SHOPLIFTING,59,F,Firearm,Other Crime,6,Yes,19-03-2020 17:00,12.0,2,3,25,1,1,95
866,2020-08-02 18:00:00,2020-02-06 01:00:00,2020-06-02 18:17:00,Ahmedabad,230,BURGLARY,66,F,,Other Crime,5,Yes,24-04-2020 18:00,18.0,2,3,1,3,1,85
867,2020-08-02 10:00:00,2020-02-06 02:00:00,2020-06-02 11:31:00,Pune,139,SEXUAL ASSAULT,71,F,Blunt Object,Violent Crime,7,Yes,28-09-2021 10:00,11.0,2,3,21,1,1,95
868,2020-07-02 05:00:00,2020-02-06 03:00:00,2020-06-02 05:16:00,Mumbai,545,VANDALISM,22,F,Knife,Other Crime,4,Yes,25-03-2020 05:00,5.0,2,3,17,0,1,80
870,2020-08-02 18:00:00,2020-02-06 05:00:00,2020-06-02 07:03:00,Srinagar,528,DRUG OFFENSE,65,F,Blunt Object,Other Crime,9,Yes,18-04-2020 18:00,7.0,2,3,23,1,1,95
871,2020-08-02 22:00:00,2020-02-06 06:00:00,2020-06-02 09:45:00,Ludhiana,507,HOMICIDE,59,F,Firearm,Other Crime,12,No,,9.0,2,3,15,1,1,95
872,2020-07-02 08:00:00,2020-02-06 07:00:00,2020-07-02 00:30:00,Bangalore,548,IDENTITY THEFT,60,F,Other,Violent Crime,12,No,,0.0,2,3,2,0,-1,50
873,2020-07-02 13:00:00,2020-02-06 08:00:00,2020-06-02 23:24:00,Mumbai,466,SEXUAL ASSAULT,76,F,,Violent Crime,11,No,,23.0,2,3,17,1,-1,45
877,2020-08-02 09:00:00,2020-02-06 12:00:00,2020-07-02 02:20:00,Mumbai,259,TRAFFIC VIOLATION,75,F,Explosives,Traffic Fatality,6,No,,2.0,2,3,17,0,1,80
879,2020-08-02 12:00:00,2020-02-06 14:00:00,2020-07-02 07:20:00,Hyderabad,306,CYBERCRIME,42,F,Poison,Other Crime,10,No,,7.0,2,3,8,0,1,100
880,2020-07-02 05:00:00,2020-02-06 15:00:00,2020-07-02 04:34:00,Thane,571,VANDALISM,73,F,Poison,Other Crime,7,No,,4.0,2,3,25,0,-1,50
881,2020-09-02 00:00:00,2020-02-06 16:00:00,2020-06-02 23:22:00,Bangalore,180,IDENTITY THEFT,25,F,Poison,Violent Crime,1,Yes,08-03-2020 00:00,23.0,2,3,2,3,-1,35
882,2020-09-02 16:00:00,2020-02-06 17:00:00,2020-07-02 10:48:00,Chennai,255,VANDALISM,45,F,Explosives,Other Crime,17,Yes,24-04-2020 16:00,10.0,2,3,4,3,1,85
889,2020-09-02 00:00:00,2020-02-07 00:00:00,2020-07-02 19:36:00,Bangalore,258,IDENTITY THEFT,79,F,Explosives,Violent Crime,10,Yes,30-03-2020 00:00,19.0,2,4,2,3,-1,55
891,2020-07-02 22:00:00,2020-02-07 02:00:00,2020-07-02 02:14:00,Delhi,267,ARSON,37,F,Blunt Object,Fire Accident,15,Yes,01-03-2020 22:00,2.0,2,4,5,0,1,80
895,2020-08-02 06:00:00,2020-02-07 06:00:00,2020-08-02 00:09:00,Bangalore,532,DOMESTIC VIOLENCE,49,F,Poison,Violent Crime,10,Yes,01-03-2020 06:00,0.0,2,4,2,0,-1,50
896,2020-09-02 16:00:00,2020-02-07 07:00:00,2020-07-02 12:14:00,Patna,489,ROBBERY,42,F,Explosives,Violent Crime,15,No,,12.0,2,4,20,1,1,95
897,2020-08-02 01:00:00,2020-02-07 08:00:00,2020-07-02 09:21:00,Pune,415,BURGLARY,56,F,Blunt Object,Other Crime,2,No,,9.0,2,4,21,1,1,95
898,2020-09-02 05:00:00,2020-02-07 09:00:00,2020-07-02 18:38:00,Bangalore,387,ARSON,76,F,Blunt Object,Fire Accident,12,Yes,15-03-2020 05:00,18.0,2,4,2,3,1,85
899,2020-10-02 02:00:00,2020-02-07 10:00:00,2020-08-02 03:59:00,Rajkot,164,PUBLIC INTOXICATION,58,F,Firearm,Other Crime,16,Yes,22-02-2020 02:00,3.0,2,4,22,0,1,80
901,2020-09-02 02:00:00,2020-02-07 12:00:00,2020-07-02 21:40:00,Delhi,100,ARSON,68,F,Firearm,Fire Accident,12,No,,21.0,2,4,5,3,1,65
902,2020-10-02 12:00:00,2020-02-07 13:00:00,2020-07-02 18:14:00,Hyderabad,549,VEHICLE - STOLEN,63,F,Firearm,Violent Crime,5,No,,18.0,2,4,8,3,1,85
903,2020-08-02 12:00:00,2020-02-07 14:00:00,2020-08-02 04:34:00,Surat,493,TRAFFIC VIOLATION,65,F,Knife,Traffic Fatality,6,Yes,13-02-2020 12:00,4.0,2,4,24,0,-1,50
905,2020-09-02 07:00:00,2020-02-07 16:00:00,2020-07-02 16:37:00,Delhi,290,FIREARM OFFENSE,53,F,Blunt Object,Fire Accident,9,No,,16.0,2,4,5,3,1,85
906,2020-10-02 07:00:00,2020-02-07 17:00:00,2020-08-02 03:52:00,Bangalore,274,EXTORTION,17,F,Firearm,Other Crime,13,Yes,21-04-2020 07:00,3.0,2,4,2,0,1,80
909,2020-09-02 01:00:00,2020-02-07 20:00:00,2020-08-02 14:50:00,Patna,439,HOMICIDE,74,F,,Other Crime,4,No,,14.0,2,4,20,1,1,95
912,2020-08-02 23:00:00,2020-02-07 23:00:00,2020-08-02 08:12:00,Ludhiana,212,EXTORTION,25,F,Knife,Other Crime,6,No,,8.0,2,4,15,1,1,95
913,2020-08-02 11:00:00,2020-02-08 00:00:00,2020-08-02 14:07:00,Delhi,466,ASSAULT,28,F,Blunt Object,Violent Crime,16,Yes,01-03-2020 11:00,14.0,2,5,5,3,1,85
914,2020-08-02 21:00:00,2020-02-08 01:00:00,2020-08-02 04:06:00,Jaipur,276,KIDNAPPING,20,F,Firearm,Other Crime,1,Yes,01-04-2020 21:00,4.0,2,5,10,0,1,80
916,2020-08-02 23:00:00,2020-02-08 03:00:00,2020-08-02 11:57:00,Kolkata,400,KIDNAPPING,30,F,Knife,Other Crime,7,Yes,17-02-2020 23:00,11.0,2,5,13,3,1,85
917,2020-08-02 05:00:00,2020-02-08 04:00:00,2020-09-02 02:39:00,Ahmedabad,542,ASSAULT,12,F,,Violent Crime,3,Yes,02-04-2020 05:00,2.0,2,5,1,0,-1,50
918,2020-08-02 18:00:00,2020-02-08 05:00:00,2020-08-02 09:01:00,Srinagar,309,IDENTITY THEFT,40,F,Other,Violent Crime,11,Yes,01-04-2020 18:00,9.0,2,5,23,1,1,95
919,2020-09-02 14:00:00,2020-02-08 06:00:00,2020-09-02 01:07:00,Ghaziabad,124,FIREARM OFFENSE,36,F,Firearm,Fire Accident,17,Yes,14-04-2020 14:00,1.0,2,5,7,0,1,80
921,2020-10-02 16:00:00,2020-02-08 08:00:00,2020-08-02 15:53:00,Pune,365,SHOPLIFTING,21,F,,Other Crime,18,No,,15.0,2,5,21,1,1,95
922,2020-08-02 19:00:00,2020-02-08 09:00:00,2020-08-02 12:26:00,Delhi,270,HOMICIDE,30,F,Other,Other Crime,10,No,,12.0,2,5,5,3,1,85
924,2020-10-02 19:00:00,2020-02-08 11:00:00,2020-09-02 05:48:00,Surat,152,IDENTITY THEFT,21,F,Firearm,Violent Crime,12,No,,5.0,2,5,24,1,-1,45
925,2020-08-02 19:00:00,2020-02-08 12:00:00,2020-09-02 08:16:00,Ludhiana,160,BURGLARY,11,F,Explosives,Other Crime,3,Yes,21-07-2020 19:00,8.0,2,5,15,1,1,95
926,2020-09-02 13:00:00,2020-02-08 13:00:00,2020-08-02 21:18:00,Mumbai,387,ILLEGAL POSSESSION,58,F,,Other Crime,19,Yes,29-02-2020 13:00,21.0,2,5,17,1,-1,45
927,2020-10-02 01:00:00,2020-02-08 14:00:00,2020-08-02 15:45:00,Ghaziabad,570,PUBLIC INTOXICATION,27,F,Knife,Other Crime,13,No,,15.0,2,5,7,3,1,85
928,2020-09-02 07:00:00,2020-02-08 15:00:00,2020-09-02 06:25:00,Faridabad,454,DOMESTIC VIOLENCE,15,F,,Violent Crime,16,No,,6.0,2,5,6,0,1,100
929,2020-09-02 07:00:00,2020-02-08 16:00:00,2020-09-02 00:31:00,Delhi,132,SEXUAL ASSAULT,36,F,Poison,Violent Crime,3,No,,0.0,2,5,5,0,-1,50
930,2020-10-02 08:00:00,2020-02-08 17:00:00,2020-09-02 10:26:00,Mumbai,294,ROBBERY,16,F,Firearm,Violent Crime,8,Yes,17-05-2020 08:00,10.0,2,5,17,1,1,95
931,2020-11-02 09:00:00,2020-02-08 18:00:00,2020-09-02 03:20:00,Hyderabad,534,VEHICLE - STOLEN,18,F,Poison,Violent Crime,3,No,,3.0,2,5,8,0,1,80
932,2020-10-02 06:00:00,2020-02-08 19:00:00,2020-09-02 13:45:00,Vasai,268,DOMESTIC VIOLENCE,37,F,Firearm,Violent Crime,18,No,,13.0,2,5,27,1,1,95
933,2020-11-02 00:00:00,2020-02-08 20:00:00,2020-09-02 08:06:00,Surat,449,EXTORTION,52,F,Knife,Other Crime,4,Yes,21-04-2020 00:00,8.0,2,5,24,1,1,95
934,2020-11-02 01:00:00,2020-02-08 21:00:00,2020-09-02 20:43:00,Bangalore,310,BURGLARY,49,F,Blunt Object,Other Crime,14,No,,20.0,2,5,2,3,1,65
935,2020-11-02 02:00:00,2020-02-08 22:00:00,2020-09-02 15:27:00,Kolkata,498,FIREARM OFFENSE,16,F,Other,Fire Accident,9,Yes,24-04-2020 02:00,15.0,2,5,13,3,1,85
936,2020-11-02 07:00:00,2020-02-08 23:00:00,2020-09-02 12:35:00,Varanasi,323,VANDALISM,15,F,Firearm,Other Crime,15,Yes,01-05-2020 07:00,12.0,2,5,26,1,-1,65
937,2020-11-02 04:00:00,2020-02-09 00:00:00,2020-09-02 06:37:00,Lucknow,297,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,3,No,,6.0,2,6,14,0,1,100
940,2020-09-02 18:00:00,2020-02-09 03:00:00,2020-09-02 06:09:00,Ghaziabad,546,IDENTITY THEFT,52,F,Knife,Violent Crime,8,Yes,05-03-2020 18:00,6.0,2,6,7,3,1,85
941,2020-10-02 18:00:00,2020-02-09 04:00:00,2020-09-02 07:23:00,Rajkot,368,ASSAULT,26,F,Blunt Object,Violent Crime,12,Yes,02-05-2020 18:00,7.0,2,6,22,1,1,95
942,2020-09-02 22:00:00,2020-02-09 05:00:00,2020-09-02 06:44:00,Patna,492,IDENTITY THEFT,36,F,Poison,Violent Crime,15,Yes,29-03-2020 22:00,6.0,2,6,20,1,1,95
943,2020-10-02 04:00:00,2020-02-09 06:00:00,2020-10-02 00:57:00,Delhi,106,ASSAULT,73,F,Poison,Violent Crime,18,No,,0.0,2,6,5,0,-1,50
944,2020-11-02 19:00:00,2020-02-09 07:00:00,2020-09-02 19:02:00,Jaipur,453,ROBBERY,61,F,Explosives,Violent Crime,18,No,,19.0,2,6,10,3,1,85
946,2020-09-02 12:00:00,2020-02-09 09:00:00,2020-09-02 09:06:00,Pune,350,CYBERCRIME,25,F,Knife,Other Crime,15,No,,9.0,2,6,21,1,1,95
948,2020-10-02 04:00:00,2020-02-09 11:00:00,2020-10-02 01:52:00,Hyderabad,483,FRAUD,55,F,Knife,Other Crime,16,Yes,18-04-2020 04:00,1.0,2,6,8,0,-1,50
949,2020-10-02 16:00:00,2020-02-09 12:00:00,2020-09-02 18:46:00,Faridabad,481,PUBLIC INTOXICATION,44,F,Blunt Object,Other Crime,16,Yes,02-03-2020 16:00,18.0,2,6,6,3,1,85
951,2020-11-02 22:00:00,2020-02-09 14:00:00,2020-10-02 09:47:00,Lucknow,284,HOMICIDE,72,F,Blunt Object,Other Crime,9,Yes,29-09-2020 22:00,9.0,2,6,14,3,1,85
957,2020-12-02 00:00:00,2020-02-09 20:00:00,2020-10-02 05:49:00,Hyderabad,427,BURGLARY,61,F,Poison,Other Crime,2,Yes,30-06-2020 00:00,5.0,2,6,8,0,1,80
959,2020-10-02 16:00:00,2020-02-09 22:00:00,2020-10-02 01:36:00,Hyderabad,375,CYBERCRIME,23,F,,Other Crime,6,Yes,14-03-2020 16:00,1.0,2,6,8,0,-1,50
960,2020-10-02 20:00:00,2020-02-09 23:00:00,2020-10-02 13:16:00,Jaipur,292,TRAFFIC VIOLATION,48,F,Blunt Object,Traffic Fatality,18,No,,13.0,2,6,10,3,1,85
962,2020-10-02 22:00:00,2020-02-10 01:00:00,2020-10-02 10:12:00,Kolkata,376,HOMICIDE,71,F,,Other Crime,12,Yes,06-11-2020 22:00,10.0,2,0,13,2,1,90
963,2020-11-02 16:00:00,2020-02-10 02:00:00,2020-10-02 06:22:00,Delhi,304,ARSON,41,F,Blunt Object,Fire Accident,9,No,,6.0,2,0,5,2,1,90
964,2020-11-02 21:00:00,2020-02-10 03:00:00,2020-10-02 06:33:00,Kanpur,352,KIDNAPPING,32,F,Firearm,Other Crime,16,Yes,31-03-2020 21:00,6.0,2,0,12,2,1,90
965,2020-10-02 15:00:00,2020-02-10 04:00:00,2020-11-02 00:43:00,Kolkata,432,CYBERCRIME,41,F,Poison,Other Crime,1,Yes,08-04-2020 15:00,0.0,2,0,13,0,-1,50
966,2020-12-02 18:00:00,2020-02-10 05:00:00,2020-11-02 02:44:00,Surat,348,CYBERCRIME,57,F,Explosives,Other Crime,12,No,,2.0,2,0,24,0,-1,50
967,2020-11-02 18:00:00,2020-02-10 06:00:00,2020-11-02 05:10:00,Delhi,220,SEXUAL ASSAULT,50,F,Explosives,Violent Crime,18,Yes,29-04-2021 18:00,5.0,2,0,5,0,1,80
968,2020-10-02 12:00:00,2020-02-10 07:00:00,2020-11-02 00:43:00,Lucknow,117,DRUG OFFENSE,15,F,Other,Other Crime,11,Yes,18-03-2020 12:00,0.0,2,0,14,0,-1,50
970,2020-10-02 20:00:00,2020-02-10 09:00:00,2020-10-02 21:26:00,Mumbai,531,FRAUD,70,F,Poison,Other Crime,5,Yes,23-02-2020 20:00,21.0,2,0,17,2,-1,40
972,2020-11-02 22:00:00,2020-02-10 11:00:00,2020-10-02 12:46:00,Delhi,543,HOMICIDE,34,F,,Other Crime,5,No,,12.0,2,0,5,2,1,90
974,2020-12-02 12:00:00,2020-02-10 13:00:00,2020-10-02 15:19:00,Mumbai,268,FRAUD,23,F,Explosives,Other Crime,16,Yes,28-04-2020 12:00,15.0,2,0,17,2,1,90
977,2020-11-02 12:00:00,2020-02-10 16:00:00,2020-11-02 00:48:00,Lucknow,169,DRUG OFFENSE,66,F,Other,Other Crime,4,Yes,14-03-2020 12:00,0.0,2,0,14,0,-1,50
978,,2020-02-10 17:00:00,2020-11-02 09:12:00,Chennai,196,ASSAULT,14,F,Explosives,Violent Crime,8,Yes,15-04-2020 04:00,9.0,2,0,4,2,1,90
980,,2020-02-10 19:00:00,2020-11-02 03:16:00,Jaipur,504,DOMESTIC VIOLENCE,61,F,Knife,Violent Crime,5,Yes,01-03-2020 16:00,3.0,2,0,10,0,-1,50
981,2020-11-02 01:00:00,2020-02-10 20:00:00,2020-10-02 21:29:00,Mumbai,515,KIDNAPPING,15,F,Explosives,Other Crime,13,Yes,27-03-2020 01:00,21.0,2,0,17,2,-1,40
982,,2020-02-10 21:00:00,2020-11-02 07:58:00,Nagpur,488,FRAUD,60,F,Knife,Other Crime,9,No,,7.0,2,0,18,2,1,90
983,,2020-02-10 22:00:00,2020-11-02 02:46:00,Ghaziabad,183,ASSAULT,35,F,Poison,Violent Crime,1,No,,2.0,2,0,7,0,-1,50
985,2020-11-02 23:00:00,2020-02-11 00:00:00,2020-11-02 22:45:00,Nagpur,565,COUNTERFEITING,42,F,Other,Other Crime,3,Yes,08-04-2020 23:00,22.0,2,1,18,1,1,75
987,,2020-02-11 02:00:00,2020-11-02 20:52:00,Mumbai,345,ASSAULT,44,F,Poison,Violent Crime,19,Yes,02-04-2020 17:00,20.0,2,1,17,2,1,70
